診療項目代碼,診療項目中文,診療項目英文,支付點數,生效起日,生效訖日,品項類別,給付說明,適應症
00114C,一般門診診察費－基層院所門診診察費 3.每位醫師每日門診量超過六十人次但在八十人次以下部分（61-80）（3）未開處方或處方由本院所自行調劑,,160,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00115C,一般門診診察費－基層院所門診診察費 4.每位醫師每日門診量超過八十人次，但在一五０人次以下部分（81-150）（１）處方交付特約藥局調劑,,70,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00116C,一般門診診察費－基層院所門診診察費 4.每位醫師每日門診量超過八十人次，但在一五０人次以下部分（81-150）(3)未開處方或處方由本院所自行調劑,,70,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00117C,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（1）處方交付特約藥局調劑,,50,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00118C,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（3）未開處方或處方由本院所自行調劑,,50,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00121C,牙科門診診察費1.每位醫師每日門診量在二十人次以下部分(≦20) 1)處方交付特約藥局調劑,,230,095.07.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理照護費29-39點。,
00122C,牙科門診診察費1.每位醫師每日門診量在二十人次以下部分(≦20) 2)未開處方或處方由本院所自行調劑,,230,088.07.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理照護費29-39點。,
00123C,牙科門診診察費2.每位醫師每日門診量超過二十人次部分(>20) 1)處方交付特約藥局調劑,,120,109.04.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理照護費29-39點。,
00124C,牙科門診診察費2.每位醫師每日門診量超過二十人次部分(>20) 2)未開處方或處方由本院所自行調劑,,120,109.04.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理照護費29-39點。,
00125C,牙科門診診察費3.山地離島地區 1)處方交付特約藥局調劑,,260,105.04.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理照護費29-39點。,
00126C,牙科門診診察費3.山地離島地區 2)未開處方或處方由本院所自行調劑,,260,105.04.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.本項支付點數含護理照護費29-39點。,
00128C,自閉症、失智症及重度以上特定身心障礙(非精神疾病)者診察費,,520,113.04.01,999.12.31,診察費,限全民健康保險牙醫門診總額特殊醫療服務計畫適用對象之牙醫醫療服務申報。,
00131B,一般門診診察費－醫院門診診察費（不含牙科門診）２．地區醫院（２）開具慢性病連續處方交付特約藥局調劑,,316,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00132B,一般門診診察費－醫院門診診察費（不含牙科門診）２．地區醫院（４）開具慢性病連續處方並由本院所自行調劑,,292,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00135B,一般門診診察費－醫院門診診察費（不含牙科門診）３．金門馬祖以外之山地離島地區（２）開具慢性病連續處方交付特約藥局調劑,,316,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00136B,一般門診診察費－醫院門診診察費（不含牙科門診）３．金門馬祖以外之山地離島地區（４）開具慢性病連續處方由本院所自行調劑,,292,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00137B,一般門診診察費－醫院門診診察費（不含牙科門診）４．金門馬祖地區（２）開具慢性病連續處方交付特約藥局調劑,,339,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00138B,一般門診診察費－醫院門診診察費（不含牙科門診）４．金門馬祖地區（４）開具慢性病連續處方並由本院所自行調劑,,316,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00141C,一般門診診察費－基層院所門診診察費　２.每位醫師每日門診量超過四十人次，但在六十人次以下（41-60）（２）開具慢性病連續處方並交付特約藥局調劑,,275,109.04.01,999.12.31,診察費,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,
00142C,一般門診診查費–基層院所門診診查費 ２.每位醫師每日門診量超過四十人次，但在六十人次以下(41-60)（４）開具慢性病連續處方並由本院所自行調劑,,250,109.04.01,999.12.31,診察費,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,
00143C,一般門診診察費－基層院所門診診察費3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（2）開具慢性病連續處方並交付特約藥局調劑,,215,109.04.01,999.12.31,診察費,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,
00144C,一般門診診察費－基層院所門診診察費 3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（4）開具慢性病連續處方由本院所自行調劑,,190,109.04.01,999.12.31,診察費,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,
00145C,一般門診診察費–基層院所門診診察費 ４.每位醫師每日門診量超過八十人次，但在一五０人次以下(81-150)（2）開具慢性病連續處方並交付特約藥局調劑,,125,109.04.01,999.12.31,診察費,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,
00146C,一般門診診察費–基層院所門診診察費４.每位醫師每日門診量超過八十人次，但在一五０人次以下(81-150) （4）開具慢性病連續處方並由本院所自行調劑,,100,109.04.01,999.12.31,診察費,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,
00147C,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（2）開具慢性病連續處方並交付特約藥局調劑,,105,109.04.01,999.12.31,診察費,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,
00148C,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（4）開具慢性病連續處方並由本院所自行調劑,,80,109.04.01,999.12.31,診察費,通則12：3歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。因註內容過多無法容納，請詳醫療費用支付標準。,
00154A,一般門診診察費－醫院門診診察費（不含牙科門診）１．醫學中心及區域醫院（１）處方交付特約藥局調劑,,286,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00155A,一般門診診察費－醫院門診診察費（不含牙科門診）１．醫學中心及區域醫院（２）開具慢性病連續處方並交付特約藥局調劑,,316,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00156A,一般門診診察費－醫院門診診察費（不含牙科門診）１．醫學中心及區域醫院（３）未開處方或處方由本院所自行調劑,,286,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00157A,一般門診診察費－醫院門診診察費（不含牙科門診）１．醫學中心及區域醫院（４）開具慢性病連續處方並由本院所自行調劑,,292,110.03.01,999.12.31,診察費,1.處方交付特約藥局調劑或未開處方者，不得申報藥事服務費。2.處方由本院所自行調劑者，得另申報門診藥事服務費。3.偏遠地區因所在地無特約藥局，交付慢性病連續處方箋至其他特約醫院或衛生所調劑，得比照處方箋交付特約藥局調劑申報。4.通則11：4歲(含)以下兒童之門診診察費得依表定點數加計百分之二十。,
00158C,一般門診診察費－基層院所門診診察費：１．每位醫師每日門診量四十人次以下部分（≦40）（５）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,,561,113.04.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00159C,一般門診診察費－基層院所門診診察費：１．每位醫師每日門診量四十人次以下部分（≦40）（６）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,,536,113.04.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00160C,一般門診診察費－基層院所門診診察費　2.每位醫師每日門診量超過四十人次，但在六十人次以下部分（41-60）（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,,475,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00161C,一般門診診察費—基層院所門診診察費 2.每位醫師每日門診量超過四十人次，但在六十人次以下部分（41-60）（6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,,450,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00162C,一般門診診察費—基層院所門診診察費 3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,,415,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00163C,一般門診診察費—基層院所門診診察費 3.每位醫師每日門診量超過六十人次，但在八十人次以下部分（61-80）（6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,,390,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00164C,一般門診診察費–基層院所門診診察費４.每位醫師每日門診量超過八十人次，但在一五０人次以下(81-150) （5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,,325,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00165C,一般門診診察費–基層院所門診診察費４.每位醫師每日門診量超過八十人次，但在一五０人次以下(81-150) （6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調行調劑。,,300,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00166C,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（5）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並交付特約藥局調劑,,305,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
00167C,一般門診診察費－基層院所門診診察費 5.每位醫師每日門診量超過一五０人次部分（＞150）（6）開具連續二次以上調劑，而且每次給藥二十八天以上之慢性病連續處方並由本院所自行調劑,,280,108.09.01,999.12.31,診察費,"註：
1.以上第1至5點每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，以二十五日計算合理量。
2.第6點山地離島地區每月看診日數計算方式：
每月實際看診日數不足二十五日(不含二十五日)，應以實際看診日數計；每月實際看診日數二十五日以上者(含二十五日)，得以當月全月日數計。
3.以上第1至6點限向衛生局登記為診所(不含中醫診所及牙醫診所)之特約醫事服務機構申報。
4.處方交付特約藥局調劑或未開處方者，不得申",
